address_id,atm.address1,atm.suburb,atm.state,atm.postcode,atm.latitude,atm.longitude,address
0,"Blockbuster Sebastopol, 107 Rubicon Street",Sebastopol,VIC,3356,-37.5821768,143.8398368,"Blockbuster Sebastopol, 107 Rubicon Street Sebastopol VIC 3356"
1,"K-Mart Campbellfield, 1434 Sydney Road",Campbellfield,VIC,3061,-37.688019,144.95938,"K-Mart Campbellfield, 1434 Sydney Road Campbellfield VIC 3061"
2,10 Lochial Avenue,Mount Martha,VIC,3934,-38.2676117,145.0128799,10 Lochial Avenue Mount Martha VIC 3934
3,"Sanctuary Lakes Shopping Centre, 300 Point Cook Road",Point Cook,VIC,3030,-37.895578,144.752585,"Sanctuary Lakes Shopping Centre, 300 Point Cook Road Point Cook VIC 3030"
4,"Box Hill Railway Station, 38 Main Street",Box Hill,VIC,3128,-37.819288,145.121784,"Box Hill Railway Station, 38 Main Street Box Hill VIC 3128"
5,"Box Hill Hospital, 51 Nelson Road",Box Hill,VIC,3128,-37.813777,145.119242,"Box Hill Hospital, 51 Nelson Road Box Hill VIC 3128"
6,"Northcote Plaza, 3 Separation Street",Northcote,VIC,3070,-37.768545,145.001533,"Northcote Plaza, 3 Separation Street Northcote VIC 3070"
7,210 Dunns Road,Mornington,VIC,3931,-38.245178,145.047744,210 Dunns Road Mornington VIC 3931
8,"Altona Meadows Shopping Centre, 1 Central Avenue",Altona Meadows,VIC,3028,-37.87252,144.77649,"Altona Meadows Shopping Centre, 1 Central Avenue Altona Meadows VIC 3028"
9,511 Barkly Street,West Footscray,VIC,3012,-37.797868,144.880085,511 Barkly Street West Footscray VIC 3012
10,80 Harvester Road,Sunshine,VIC,3020,-37.781396,144.831284,80 Harvester Road Sunshine VIC 3020
11,"Keilor Downs Plaza, 80 Taylors Road",Keilor Downs,VIC,3038,-37.726986,144.807306,"Keilor Downs Plaza, 80 Taylors Road Keilor Downs VIC 3038"
12,"Oakleigh Central Shopping Centre, 33 Station Street",Oakleigh,VIC,3166,-37.900755,145.090283,"Oakleigh Central Shopping Centre, 33 Station Street Oakleigh VIC 3166"
13,"Brunswick City Centre, 94 Sydney Road",Brunswick,VIC,3056,-37.77566,144.961047,"Brunswick City Centre, 94 Sydney Road Brunswick VIC 3056"
14,"Dandenong Plaza, 1 McCrae Street",Dandenong,VIC,3175,-37.98652,145.217356,"Dandenong Plaza, 1 McCrae Street Dandenong VIC 3175"
15,"Latrobe Regional Hospital, Princes Highway",Traralgon,VIC,3844,-38.218995,146.471284,"Latrobe Regional Hospital, Princes Highway Traralgon VIC 3844"
16,60 Elizabeth Street,Melbourne,VIC,3000,-37.8167556,144.964349,60 Elizabeth Street Melbourne VIC 3000
17,45 Douglas Street,Noble Park,VIC,3174,-37.9671934,145.1760318,45 Douglas Street Noble Park VIC 3174
18,33 Anderson Street,Yarraville,VIC,3013,-37.8167272,144.8910765,33 Anderson Street Yarraville VIC 3013
19,"Southern Cross Station, 165 Spencer Street",Melbourne,VIC,3000,-37.818813,144.953425,"Southern Cross Station, 165 Spencer Street Melbourne VIC 3000"
20,"Shepparton Marketplace, 110 Benalla Road",Shepparton,VIC,3630,-36.388074,145.423968,"Shepparton Marketplace, 110 Benalla Road Shepparton VIC 3630"
21,"Broadmeadows Shopping Centre, 1099 Pascoe Vale Road",Broadmeadows,VIC,3047,-37.679396,144.91912,"Broadmeadows Shopping Centre, 1099 Pascoe Vale Road Broadmeadows VIC 3047"
22,"Centro Shopping Centre, 831 Fifteenth Street",Mildura,VIC,3500,-34.207099,142.138653,"Centro Shopping Centre, 831 Fifteenth Street Mildura VIC 3500"
23,"Newmarket Shopping Centre, 388-390 Racecourse Road",Flemington,VIC,3031,-37.787314,144.927923,"Newmarket Shopping Centre, 388-390 Racecourse Road Flemington VIC 3031"
24,"Burwood One, 172 Burwood Road",Burwood East,VIC,3151,-37.853375,145.149738,"Burwood One, 172 Burwood Road Burwood East VIC 3151"
25,"Melbourne Central, 300 Elizabeth Street",Melbourne,VIC,3000,-37.810529,144.962654,"Melbourne Central, 300 Elizabeth Street Melbourne VIC 3000"
26,"Brimbank Central Shopping Centre, 28 Neale Road",Deer Park,VIC,3023,-37.750795,144.775202,"Brimbank Central Shopping Centre, 28 Neale Road Deer Park VIC 3023"
27,271 William Street,Melbourne,VIC,3000,-37.8126127,144.956779,271 William Street Melbourne VIC 3000
28,"Queen Victoria Market, Queen Street",Melbourne,VIC,3000,-37.807771,144.958142,"Queen Victoria Market, Queen Street Melbourne VIC 3000"
29,"Hogans Corner Shopping Centre, 262 Derrimut Road",Werribee,VIC,3030,-37.86169,144.687129,"Hogans Corner Shopping Centre, 262 Derrimut Road Werribee VIC 3030"
30,"Corio Shopping Village, 83a Purnell Road",Corio,VIC,3214,-38.075716,144.355923,"Corio Shopping Village, 83a Purnell Road Corio VIC 3214"
31,"Centre Point Shopping Centre, 274 Maude Street",Shepparton,VIC,3630,-36.382803,145.4003968,"Centre Point Shopping Centre, 274 Maude Street Shepparton VIC 3630"
32,"Shepparton Riverside Plaza, 8025 Goulburn Valley Highway",Shepparton,VIC,3630,-36.408408,145.39112,"Shepparton Riverside Plaza, 8025 Goulburn Valley Highway Shepparton VIC 3630"
33,"Freemans Bakery Shepparton, 310 High Street",Shepparton,VIC,3630,-36.383603,145.412027,"Freemans Bakery Shepparton, 310 High Street Shepparton VIC 3630"
34,99 High Street,Heathcote,VIC,3523,-36.9248452,144.7105414,99 High Street Heathcote VIC 3523
35,"Carrum Downs Shopping Centre, 100 Hall Road",Carrum Downs,VIC,3201,-38.101951,145.185032,"Carrum Downs Shopping Centre, 100 Hall Road Carrum Downs VIC 3201"
36,"Balaclava Flight Centre, 155 Carlisle Street",Balaclava,VIC,3183,-37.868754,144.991906,"Balaclava Flight Centre, 155 Carlisle Street Balaclava VIC 3183"
37,"Central West Plaza, 67 Ashley Street",Braybrook,VIC,3019,-37.793451,144.860508,"Central West Plaza, 67 Ashley Street Braybrook VIC 3019"
38,"Yarram Plaza Shopping Center, 17 James Street",Yarram,VIC,3971,-38.564103,146.677023,"Yarram Plaza Shopping Center, 17 James Street Yarram VIC 3971"
39,26 Bay Road,Sandringham,VIC,3191,-37.9518468,145.0047652,26 Bay Road Sandringham VIC 3191
40,"Midvale Shopping Centre, 1174-1178 Geelong Road",Mount Clear,VIC,3350,-37.602949,143.867918,"Midvale Shopping Centre, 1174-1178 Geelong Road Mount Clear VIC 3350"
41,85 Commercial Street,Korumburra,VIC,3950,-38.4316414,145.8232888,85 Commercial Street Korumburra VIC 3950
42,"Westside Real Estate, 1A Alfrieda Street",St Albans,VIC,3021,-37.744062,144.800259,"Westside Real Estate, 1A Alfrieda Street St Albans VIC 3021"
43,112 Main Street,Romsey,VIC,3434,-37.348705,144.743395,112 Main Street Romsey VIC 3434
44,"Geelong Hosputal/Barwon Health, Bellarine Street",Geelong,VIC,3220,-38.151798,144.36474,"Geelong Hosputal/Barwon Health, Bellarine Street Geelong VIC 3220"
45,"Wyndham Village, 380 Sayers Road",Tarneit,VIC,3029,-37.849151,144.704659,"Wyndham Village, 380 Sayers Road Tarneit VIC 3029"
46,"Parkmore Shopping Centre, 317 Cheltenham Road",Keysborough,VIC,3173,-37.993337,145.171932,"Parkmore Shopping Centre, 317 Cheltenham Road Keysborough VIC 3173"
47,"Endeavour Hills Shopping Centre, 107 Matthew Flinders Avenue",Endeavour Hills,VIC,3802,-37.976593,145.259605,"Endeavour Hills Shopping Centre, 107 Matthew Flinders Avenue Endeavour Hills VIC 3802"
48,239-241 Maroondah Highway,Chirnside Park,VIC,3116,-37.757155,145.312887,239-241 Maroondah Highway Chirnside Park VIC 3116
